countryCode,countryName,year,electricityAccess,region
NGA,Nigeria,2012,53.0,Sub-Saharan Africa
NOR,Norway,2012,100.0,Europe & Central Asia
PAK,Pakistan,2012,88.6,South Asia
PER,Peru,2012,91.1,Latin America & Caribbean
IND,India,2003,65.4,South Asia
IDN,Indonesia,2003,87.9,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2003,98.2,Middle East & North Africa
IRQ,Iraq,2003,97.2,Middle East & North Africa
ITA,Italy,2003,100.0,Europe & Central Asia
ARE,United Arab Emirates,2014,100.0,Middle East & North Africa
GBR,United Kingdom,2014,100.0,Europe & Central Asia
USA,United States,2014,100.0,North America
VNM,Vietnam,2014,99.2,East Asia & Pacific
VIR,Virgin Islands (U.S.),2014,100.0,North America
CHL,Chile,2023,100.0,Latin America & Caribbean
CHN,China,2023,100.0,East Asia & Pacific
COL,Colombia,2023,98.7,Latin America & Caribbean
GHA,Ghana,2014,78.3,Sub-Saharan Africa
IND,India,2001,62.0,South Asia
IDN,Indonesia,2001,86.3,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2001,98.1,Middle East & North Africa
IRQ,Iraq,2001,96.9,Middle East & North Africa
ITA,Italy,2001,100.0,Europe & Central Asia
MYS,Malaysia,2017,100.0,East Asia & Pacific
SAU,Saudi Arabia,2009,100.0,Middle East & North Africa
BRA,Brazil,2018,99.7,Latin America & Caribbean
CAN,Canada,2018,100.0,North America
IND,India,2002,62.3,South Asia
IDN,Indonesia,2002,87.6,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2002,98.1,Middle East & North Africa
IRQ,Iraq,2002,97.1,Middle East & North Africa
ITA,Italy,2002,100.0,Europe & Central Asia
JPN,Japan,2002,100.0,East Asia & Pacific
IND,India,2020,96.5,South Asia
IDN,Indonesia,2020,97.0,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2020,100.0,Middle East & North Africa
NPL,Nepal,2005,46.1,South Asia
NLD,Netherlands,2005,100.0,Europe & Central Asia
NZL,New Zealand,2005,100.0,East Asia & Pacific
NGA,Nigeria,2005,46.8,Sub-Saharan Africa
NOR,Norway,2005,100.0,Europe & Central Asia
SWE,Sweden,2008,100.0,Europe & Central Asia
TZA,Tanzania,2008,11.5,Sub-Saharan Africa
THA,Thailand,2008,94.8,East Asia & Pacific
IND,India,2005,68.8,South Asia
IDN,Indonesia,2005,84.8,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2005,98.4,Middle East & North Africa
IRQ,Iraq,2005,97.4,Middle East & North Africa
ZAF,South Africa,2013,85.2,Sub-Saharan Africa
ESP,Spain,2013,100.0,Europe & Central Asia
LKA,Sri Lanka,2013,90.2,South Asia
BRA,Brazil,2003,97.0,Latin America & Caribbean
NOR,Norway,2016,100.0,Europe & Central Asia
PAK,Pakistan,2016,91.8,South Asia
PER,Peru,2016,94.2,Latin America & Caribbean
PHL,Philippines,2016,92.0,East Asia & Pacific
POL,Poland,2016,100.0,Europe & Central Asia
MAR,Morocco,2018,98.1,Middle East & North Africa
NPL,Nepal,2018,93.9,South Asia
NLD,Netherlands,2018,100.0,Europe & Central Asia
NZL,New Zealand,2018,100.0,East Asia & Pacific
IND,India,2015,88.0,South Asia
IDN,Indonesia,2015,97.5,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2015,100.0,Middle East & North Africa
IRQ,Iraq,2015,99.4,Middle East & North Africa
ETH,Ethiopia,2012,29.0,Sub-Saharan Africa
FRA,France,2012,100.0,Europe & Central Asia
SAU,Saudi Arabia,2011,100.0,Middle East & North Africa
FRA,France,2006,100.0,Europe & Central Asia
DEU,Germany,2006,100.0,Europe & Central Asia
GHA,Ghana,2006,55.1,Sub-Saharan Africa
